Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
R016462,"Adams, Michael  ","Sasscer, Clagett & Bucher",Maryland Health Alternatives Association on behalf of Georgetown Hemp,02/21/23-04/11/23
R025991,"Adams, Michael  ","Sasscer, Clagett & Bucher","Constellation Energy Generation, LLC",04/01/25-10/31/25
R015910,"Adams, Michael  ","Sasscer, Clagett & Bucher",Associated Builders & Contractors,01/09/23-10/31/23
R020830,"Adams, Michael  ","Sasscer, Clagett & Bucher",Earnin,01/17/24-10/31/24
R025279,"Adams, Michael  ","Sasscer, Clagett & Bucher",Maryland Retailers Alliance,01/08/25-10/31/25
R025905,"Adams, Michael  ","Sasscer, Clagett & Bucher","Bailey & Glasser, LLP",03/07/25-10/31/25
R002780,"Adams, Jr., Earl S.",Saul Ewing Arnstein & Lehr LLP,"HP, Inc.",12/18/19-10/31/20
R006371,"Adams, Jr., Earl S.",Saul Ewing Arnstein & Lehr LLP,"HP, Inc.",11/01/20-07/13/21
R006373,"Adams, Jr., Earl S.",Saul Ewing Arnstein & Lehr LLP,"First Floor, Inc.",11/01/20-07/13/21
R003312,"Adams, Jr., Earl S.",Saul Ewing Arnstein & Lehr LLP,"First Floor, Inc.",01/12/20-10/31/20
R003152,"Adkins, Todd ",National Rifle Association ,National Rifle Association,01/09/20-08/03/20
R020945,"Aguilar, Jorge ",Food & Water Watch,Food & Water Watch,01/25/24-10/31/24
R025178,"Aguilar, Jorge ",Food & Water Watch,Food & Water Watch,01/02/25-10/31/25
R016246,"Aguilar, Jorge ",Food & Water Watch,Food & Water Watch,01/27/23-10/31/23
R018467,"Akwakoku, Belawoe ",National Community Pharmacists Association (NCPA),National Community Pharmacists Association,11/01/23-10/31/24
R016526,"Akwakoku, Belawoe ",National Community Pharmacists Association (NCPA),National Community Pharmacists Association,03/03/23-10/31/23
R016382,"Albacarys-Roop, Balfour E",International Brotherhood of Electrical Workers Local 24,International Brotherhood of Electrical Workers Local 24,02/08/23-04/30/23
R025761,"Albacarys-Roop, Balfour E",International Brotherhood of Electrical Workers Local 24,IBEW Local 24,02/18/25-10/31/25
R017372,"Albacarys-Roop, Balfour E",International Brotherhood of Electrical Workers Local 24,IBEW Local 24,11/01/23-10/31/24
R006622,"Albert, David G.","The Waverly Group, Inc.",Maximus,11/16/20-10/31/21
R000153,"Albert, David G.","The Waverly Group, Inc.","J29, Inc.",11/01/19-05/01/20
R006621,"Albert, David G.","The Waverly Group, Inc.",Carahsoft,11/16/20-10/31/21
R003905,"Albert, David G.","The Waverly Group, Inc.",Maximus,11/01/19-10/31/20
R003906,"Albert, David G.","The Waverly Group, Inc.",Carahsoft,11/01/19-10/31/20
R011962,"Alexandeer, Jamie Grace",Freestate Justice,FreeState Justice,05/18/22-10/31/22
R015573,"Alexander, Jamie Grace",Freestate Justice,FreeState Justice,12/01/22-04/14/23
R012446,"Alexander, Dennis C.","Easter Seals Serving DC|MD|VA, Inc.",Easter Seals Serving DC MD VA,01/08/24-10/31/24
R012051,"Alexander, Dennis C.","Easter Seals Serving DC|MD|VA, Inc.",Easter Seals Serving DC MD VA,11/01/22-10/31/23
R021800,"Alexander, Dennis C.","Easter Seals Serving DC|MD|VA, Inc.",Easter Seals Serving DC MD VA,11/01/24-10/31/25
R006163,"Alexander, Gary R.","Alexander Strategic Solutions, LLC",Maryland Recovery Association,11/01/20-06/01/21
R000275,"Alexander & Cleaver, P.A.","Fletcher, Teresa ","Alexander & Cleaver, P.A.",05/01/20-10/31/20
R020784,"Alexandre, Jonathan M",Maryland Family Institute,Maryland Family Institute,01/09/24-10/31/24
R025763,"Alexandre, Kyle ",Equipment Leasing and Finance Association,Equipment Leasing and Finance Association,02/18/25-10/31/25
R023092,"Alexandre, Jonathan M",Maryland Family Institute,Maryland Family Institute,11/01/24-10/31/25
R025185,"Ali, Ragina Cooper",AAA Mid-Atlantic,AAA Club Alliance/AAA Mid-Atlantic,01/03/25-10/31/25
R007045,"Ali, Ragina Cooper",AAA Mid-Atlantic,AAA Club Alliance/AAA Mid-Atlantic,01/06/21-10/31/21
R011018,"Ali, Ragina Cooper",AAA Mid-Atlantic,AAA Club Alliance/AAA Mid-Atlantic,01/10/22-10/31/22
R002642,"Ali, Ragina Cooper",AAA Club Alliance/AAA Mid-Atlantic,AAA Club Alliance/AAA Mid-Atlantic,11/18/19-10/31/20
R015528,"Ali, Ragina Cooper",AAA Mid-Atlantic,AAA Club Alliance/AAA Mid-Atlantic,01/13/23-10/31/23
R020067,"Ali, Ragina Cooper",AAA Mid-Atlantic,AAA Club Alliance/AAA Mid-Atlantic,11/29/23-10/31/24
R015696,"Allen, Hannah ",Maryland Chamber of Commerce,Maryland Chamber of Commerce,12/13/22-10/31/23
R005355,"Allen, Amanda Nicole",Transurban,Transurban,11/01/20-10/31/21
R016133,"Allen, James ","TVI, Inc./Savers","TVI, Inc./Savers",01/13/23-10/31/23
R012335,"Allen, Amanda Nicole",Transurban,Transurban,11/01/22-04/22/23
R003333,"Allen, Amanda Nicole",Transurban,Transurban,01/24/20-10/31/20
R019190,"Allen, Hannah ",Maryland Chamber of Commerce,Maryland Chamber of Commerce,11/01/23-10/31/24
R018265,"Allen, James ","TVI, Inc./Savers","TVI, Inc./Savers",11/01/23-10/31/24
R021470,"Allen, Hannah ",Maryland Chamber of Commerce,Maryland Chamber of Commerce,11/01/24-10/31/25
R008435,"Allen, Amanda Nicole",Transurban,Transurban,11/01/21-10/31/22
R003243,"Alston, Bryan ","State Circle Strategies, LLC",Coppin State University-College of Health Professions,01/13/20-10/31/20
R003246,"Alston, Bryan ","State Circle Strategies, LLC","CHA, Inc. dba Mary & Main Dispensary",01/13/20-10/31/20
R007712,"Alston, Bryan ","State Circle Strategies, LLC","OGOS Energy, LLC",02/01/21-10/31/21
R021162,"Alston, Bryan ","State Circle Strategies, LLC",GEDCO (Govans Ecumenical Development Corporation),02/15/24-10/31/24
R021122,"Alston, Bryan ","State Circle Strategies, LLC","TicketNetwork, Inc",02/15/24-10/31/24
R021164,"Alston, Bryan ","State Circle Strategies, LLC","U.S. Dream Academy, Inc.",02/15/24-10/31/24
R025481,"Alston, Bryan ","State Circle Strategies, LLC",Bon Secours Community Works,01/22/25-10/31/25
R025487,"Alston, Bryan ","State Circle Strategies, LLC",Maryland Alliance of State Aided Organizations,01/22/25-10/31/25
R025482,"Alston, Bryan ","State Circle Strategies, LLC",Park Heights Renaissance,01/22/25-10/31/25
R025488,"Alston, Bryan ","State Circle Strategies, LLC","Ed Reed Foundation, The",01/22/25-10/31/25
R025484,"Alston, Bryan ","State Circle Strategies, LLC","TicketNetwork, Inc",01/22/25-10/31/25
R007708,"Alston, Bryan ","State Circle Strategies, LLC","CHA, Inc. dba Mary & Main Dispensary",02/01/21-10/31/21
R003239,"Alston, Bryan ","State Circle Strategies, LLC","TicketNetwork, Inc",01/13/20-10/31/20
R003245,"Alston, Bryan ","State Circle Strategies, LLC","OGOS Energy, LLC",01/13/20-10/31/20
R021165,"Alston, Bryan ","State Circle Strategies, LLC",Maryland Alliance of State Aided Organizations,02/15/24-10/31/24
R003240,"Alston, Bryan ","State Circle Strategies, LLC",Bon Secours Baltimore Health System Foundation,01/13/20-10/31/20
R003244,"Alston, Bryan ","State Circle Strategies, LLC",Baltimore City Community College,01/13/20-10/31/20
R007707,"Alston, Bryan ","State Circle Strategies, LLC",Park Heights Renaissance,02/01/21-10/31/21
R007709,"Alston, Bryan ","State Circle Strategies, LLC","TicketNetwork, Inc",02/01/21-10/31/21
R007714,"Alston, Bryan ","State Circle Strategies, LLC",Maryland Alliance of SAI Organizations,02/01/21-10/31/21
R021158,"Alston, Bryan ","State Circle Strategies, LLC",Park Heights Renaissance,02/15/24-10/31/24
R021160,"Alston, Bryan ","State Circle Strategies, LLC","Ed Reed Foundation, The",02/15/24-10/31/24
R007706,"Alston, Bryan ","State Circle Strategies, LLC",Bon Secours Baltimore Health System Foundation,02/01/21-10/31/21
R007710,"Alston, Bryan ","State Circle Strategies, LLC",Corteva Agriscience,02/01/21-10/31/21
R007711,"Alston, Bryan ","State Circle Strategies, LLC",GEDCO (Govans Ecumenical Development Corporation),02/01/21-10/31/21
R007713,"Alston, Bryan ","State Circle Strategies, LLC",Baltimore City Community College,02/01/21-10/31/21
R003110,"Alston, Bryan ","State Circle Strategies, LLC",Corteva Agriscience,01/07/20-10/31/20
R003242,"Alston, Bryan ","State Circle Strategies, LLC",GEDCO (Govans Ecumenical Development Corporation),01/13/20-10/31/20
R021161,"Alston, Bryan ","State Circle Strategies, LLC","Home Partnership, Inc.",02/15/24-10/31/24
R025485,"Alston, Bryan ","State Circle Strategies, LLC",B-360 Baltimore,01/22/25-10/31/25
R025486,"Alston, Bryan ","State Circle Strategies, LLC","CHA, Inc. dba Mary & Main Dispensary",01/22/25-10/31/25
R003241,"Alston, Bryan ","State Circle Strategies, LLC",Park Heights Renaissance,01/13/20-10/31/20
R003247,"Alston, Bryan ","State Circle Strategies, LLC",Tagliata/ Elk Room LLC,01/13/20-10/31/20
R021166,"Alston, Bryan ","State Circle Strategies, LLC",Baltimore City Community College,02/15/24-10/31/24
R021163,"Alston, Bryan ","State Circle Strategies, LLC","CHA, Inc. dba Mary & Main Dispensary",02/15/24-10/31/24
R021157,"Alston, Bryan ","State Circle Strategies, LLC",Bon Secours Community Works,02/15/24-10/31/24
R021159,"Alston, Bryan ","State Circle Strategies, LLC",B-360 Baltimore,02/15/24-10/31/24
R000052,"Altema, Irnande ",Mental Health Association of Maryland,Mental Health Association of Maryland,11/01/19-10/31/20
R009613,"Altema, Irnande ",Maryland Independent College & University Assocation,Maryland Independent College and University Association,11/01/21-10/31/22
R022268,"Altema, Irnande ",Maryland Independent College & University Assocation,Maryland Independent College and University Association,11/01/24-10/31/25
R017476,"Altema, Irnande ",Maryland Independent College & University Assocation,Maryland Independent College and University Association,11/01/23-10/31/24
R009612,"Altema, Irnande ",Maryland Independent College & University Assocation,Maryland Independent College and University Association,11/01/22-10/31/23
R006680,"Altema, Irnande ",Maryland Independent College & University Assocation,Maryland Independent College and University Association,11/19/20-10/31/21
R015739,"Amador-Hernandez, Ninfa ",CASA de Maryland Inc,"CASA de Maryland, Inc.",12/16/22-10/31/23
R023784,"Amador-Hernandez, Ninfa ",CASA de Maryland Inc,"CASA de Maryland, Inc.",11/01/24-10/31/25
R019422,"Amador-Hernandez, Ninfa ",CASA de Maryland Inc,"CASA de Maryland, Inc.",11/01/23-10/31/24
R005522,"Amanuel, Yanet ",ACLU of Maryland,ACLU of Maryland,11/01/20-10/31/21
R000034,"Amanuel, Yanet ",ACLU of Maryland,ACLU of Maryland,11/01/19-10/31/20
R013284,"Amanuel, Yanet ",ACLU of Maryland,ACLU of Maryland,11/01/22-10/31/23
R009273,"Amanuel, Yanet ",ACLU of Maryland,ACLU of Maryland,11/01/21-10/31/22
R018218,"Amanuel, Yanet ",ACLU of Maryland,ACLU of Maryland,11/01/23-10/31/24
R025023,"Amanuel, Yanet ",ACLU of Maryland,ACLU of Maryland,12/11/24-10/31/25
R025861,"Amaya-Hernandez, Yoslin ",Wishful Doing LLC,Wishful Doing,02/24/25-10/31/25
R003826,"American Civil Liberties Union, Inc.","Dougherty, Terence ","American Civil Liberties Union, Inc.",04/06/20-10/31/20
R004603,"American Civil Liberties Union, Inc.","Dougherty, Terence ","American Civil Liberties Union, Inc.",11/01/20-10/31/21
R008910,"American Civil Liberties Union, Inc.","Dougherty, Terence ","American Civil Liberties Union, Inc.",11/01/21-01/30/22
R001724,"Amo, Gabriel ",N/A,"Home Depot, Inc., The",11/01/19-04/06/20
R011076,"Amster, Molly ",Jews United for Justice,Jews United for Justice,12/06/21-10/31/22
R003234,"Amster, Molly ",Jews United for Justice,Jews United for Justice,01/13/20-10/31/20
R019855,"Amster, Molly ",Jews United for Justice,Jews United for Justice,12/07/23-03/08/24
R006786,"Amster, Molly ",Jews United for Justice,Jews United for Justice,12/01/20-10/31/21
R015322,"Amster, Molly ",Jews United for Justice,Jews United for Justice,11/16/22-10/31/23
R011610,"Anas, George Konstintine",Berkshire Hathaway Energy GT&S,"Berkshire Hathaway Energy GT&S, LLC",02/02/22-10/31/22
R015316,"Anas, George Konstintine",Berkshire Hathaway Energy GT&S,"Berkshire Hathaway Energy GT&S, LLC",11/01/22-10/31/23
R006496,"Anas, George Konstintine",Berkshire Hathaway Energy GT&S,"Berkshire Hathaway Energy GT&S, LLC",11/01/20-10/31/21
R019419,"Anas, George Konstintine",Berkshire Hathaway Energy GT&S,"Berkshire Hathaway Energy GT&S, LLC",11/01/23-10/31/24
R003875,"Anas, George Konstintine",Dominion Energy,Dominion Energy,05/12/20-10/31/20
R024208,"Anas, George Konstintine",Berkshire Hathaway Energy GT&S,"Berkshire Hathaway Energy GT&S, LLC",11/01/24-10/31/25
R006722,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",1199 SEIU,11/20/20-10/31/21
R009494,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Maryland Citizens' Health Initiative, Inc.",11/01/21-10/31/22
R009498,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Maryland RISE,11/01/21-10/31/22
R009490,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Arc of Prince George's County, The",11/01/21-10/31/22
R009495,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Maximus,11/01/21-10/31/22
R014328,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",One Fair Wage,11/01/22-10/31/23
R018266,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Climate XChange,11/01/23-10/31/24
R018262,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Hopewell Fund,11/01/23-10/31/24
R018267,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Maximus,11/01/23-10/31/24
R006719,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Arc of Prince George's County, The",11/20/20-10/31/21
R009488,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Maryland Workforce Alliance,11/01/21-10/31/22
R009491,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",City of College Park,11/01/21-10/31/22
R011794,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Arcimoto,02/25/22-10/31/22
R006721,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Horizon Foundation of Howard County, Inc., The",11/20/20-10/31/21
R013781,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Horizon Foundation of Howard County, Inc., The",11/01/22-10/31/23
R013786,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Maryland Citizens' Health Initiative, Inc.",11/01/22-10/31/23
R015539,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Climate XChange,11/28/22-10/31/23
R018261,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Horizon Foundation of Howard County, Inc., The",11/01/23-10/31/24
R018270,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",1199 SEIU,11/01/23-10/31/24
R005889,"Anderson, LaKeitha ",RAI Services Company,RAI Services Company,11/01/20-12/20/20
R006717,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Hopewell Fund,11/20/20-10/31/21
R006724,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Energy Action Fund,11/20/20-10/31/21
R006725,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Maximus,11/20/20-10/31/21
R013778,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Bowie Baysox Baseball Club, LLC",11/01/22-10/31/23
R015240,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","A Determined Seed I, LLC",11/14/22-10/31/23
R013784,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Energy Action Fund,11/01/22-10/31/23
R013782,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Hopewell Fund,11/01/22-10/31/23
R013788,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",1199 SEIU,11/01/22-10/31/23
R013785,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Maximus,11/01/22-10/31/23
R018263,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Energy Action Fund,11/01/23-10/31/24
R018260,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",City of College Park,11/01/23-10/31/24
R006715,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",City of College Park,11/20/20-10/31/21
R006718,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Maryland Citizens' Health Initiative, Inc.",11/20/20-10/31/21
R006726,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",New Venture Fund,11/20/20-10/31/21
R009492,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Hopewell Fund,11/01/21-10/31/22
R009497,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Energy Action Fund,11/01/21-10/31/22
R009493,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Horizon Foundation of Howard County, Inc., The",11/01/21-10/31/22
R013776,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Arc of Prince George's County, The",11/01/22-10/31/23
R022191,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",City of College Park,11/01/24-10/31/25
R018268,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Maryland Citizens' Health Initiative, Inc.",11/01/23-10/31/24
R003541,"Anderson, LaKeitha ",RAI Services Company,RAI Services Company,02/04/20-10/31/20
R007250,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Maryland Workforce Alliance,01/13/21-10/31/21
R009489,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",1199 SEIU,11/01/21-10/31/22
R013777,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",City of College Park,11/01/22-10/31/23
R022193,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",1199 SEIU,11/01/24-10/31/25
R018269,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",One Fair Wage,11/01/23-10/31/24
R017462,"Andes, Benjamin F., IV",Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,11/01/23-10/31/24
R017067,"Andes, Benjamin , IV",Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,09/06/23-10/31/23
R022051,"Andes, Benjamin F., IV",Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,11/01/24-10/31/25
R002798,"Andrade, Jeffrey R",McKeon Group,Cicero Group,12/03/19-04/01/20
R003885,"Andrews, Erin ","FAIR Fund, Inc.","Fair Girls, Inc.",01/29/20-10/31/20
R002842,"Andryszak, John A.", Law Office of John A Andryszak,Ntional Association of Surety Bond Producers,02/27/20-04/30/20
R005342,"Andryszak, John A.", Law Office of John A Andryszak,"Competitive Power Ventures, Inc.",11/01/20-10/31/21
R008239,"Andryszak, John A.", Law Office of John A Andryszak,"Chubb & Sons, A Division of Federal Insurance Company",11/01/21-10/31/22
R008241,"Andryszak, John A.", Law Office of John A Andryszak,American International Group,11/01/21-10/31/22
R014063,"Andryszak, John A.", Law Office of John A Andryszak,"Chubb & Sons, A Division of Federal Insurance Company",11/01/22-10/31/23
R005345,"Andryszak, John A.", Law Office of John A Andryszak,American International Group,11/01/20-10/31/21
R002850,"Andryszak, John A.", Law Office of John A Andryszak,"Travelers Companies, Inc and Subsidiaries",12/09/19-10/31/20
R011788,"Andryszak, John A.", Law Office of John A Andryszak,GSK Consumer Healthcare,02/23/22-04/30/22
R018863,"Andryszak, John A.",Kress Hammen Government Affairs,"Chubb & Sons, A Division of Federal Insurance Company",11/01/23-10/31/24
R018879,"Andryszak, John A.",Kress Hammen Government Affairs,"Travelers Companies, Inc and Subsidiaries",11/01/23-10/31/24
R002844,"Andryszak, John A.", Law Office of John A Andryszak,"Chubb & Sons, A Division of Federal Insurance Company",12/09/19-10/31/20
R002848,"Andryszak, John A.", Law Office of John A Andryszak,"Competitive Power Ventures, Inc.",12/09/19-10/31/20
R003610,"Andryszak, John A.", Law Office of John A Andryszak,Reinsurance Association of America,02/12/20-04/30/20
R002849,"Andryszak, John A.", Law Office of John A Andryszak,CSAA Insurance Exchange (AAA),12/09/19-10/31/20
R008243,"Andryszak, John A.", Law Office of John A Andryszak,"Competitive Power Ventures, Inc.",11/01/21-10/31/22
R016414,"Andryszak, John A.",Kress Hammen Government Affairs,National Association of Insurance and Financial Advisors of Maryland (NAIFA-MD),02/14/23-10/31/23
R014065,"Andryszak, John A.", Law Office of John A Andryszak,"Competitive Power Ventures, Inc.",11/01/22-10/31/23
R007549,"Andryszak, John A.", Law Office of John A Andryszak,Ntional Association of Surety Bond Producers,02/26/21-10/31/21
R005324,"Andryszak, John A.", Law Office of John A Andryszak,"Travelers Companies, Inc and Subsidiaries",11/01/20-10/31/21
R008240,"Andryszak, John A.", Law Office of John A Andryszak,"Travelers Companies, Inc and Subsidiaries",11/01/21-10/31/22
R014060,"Andryszak, John A.", Law Office of John A Andryszak,American International Group,11/01/22-10/31/23
R018871,"Andryszak, John A.",Kress Hammen Government Affairs,"Competitive Power Ventures, Inc.",11/01/23-10/31/24
R002847,"Andryszak, John A.", Law Office of John A Andryszak,American International Group,12/09/19-10/31/20
R005328,"Andryszak, John A.", Law Office of John A Andryszak,"Chubb & Sons, A Division of Federal Insurance Company",11/01/20-10/31/21
R014066,"Andryszak, John A.", Law Office of John A Andryszak,"Travelers Companies, Inc and Subsidiaries",11/01/22-10/31/23
R018872,"Andryszak, John A.",Kress Hammen Government Affairs,American International Group,11/01/23-10/31/24
R013712,"Anleu, Brian ",AOBA,Apartment & Office Building Association,11/01/22-10/31/23
R021413,"Anleu, Brian ",AOBA,National Apartment Association,04/15/24-10/31/24
R017290,"Anleu, Brian ",AOBA,Apartment & Office Building Association,11/01/23-10/31/24
R021816,"Anleu, Brian ",AOBA,Apartment & Office Building Association,11/01/24-10/31/25
R025573,Annapolis Pride,"Toolan, Joseph ",Annapolis Pride,01/27/25-10/31/25
R006547,"Antoine, Joanne ",Common Cause Maryland,Common Cause Maryland,11/01/20-10/31/21
R011033,"Antoine, Joanne ",Common Cause Maryland,Common Cause Maryland,12/01/21-10/31/22
R015504,"Antoine, Joanne ",Common Cause Maryland,Common Cause Maryland,12/05/22-10/31/23
R002764,"Antoine, Joanne ",Common Cause Maryland,Common Cause Maryland,12/02/19-10/31/20
R018716,"Antoine, Joanne ",Common Cause Maryland,Common Cause Maryland,11/01/23-10/31/24
R024687,"Antoine, Joanne ",Common Cause Maryland,Common Cause Maryland,12/01/24-10/31/25
R007498,"Appel, Erin ","Capitol Strategies, LLC","Al Fakher Distribution USA, Inc",02/15/21-10/31/21
R007672,"Appel, Erin ","Capitol Strategies, LLC",Auction.com,03/26/21-10/31/21
R005314,"Appel, Erin ","Capitol Strategies, LLC","Atlantic Bingo Supply, Inc",11/01/20-10/31/21
R005521,"Appel, Erin ","Capitol Strategies, LLC","Maryland Geothermal Association, The",11/01/20-10/31/21
R005528,"Appel, Erin ","Capitol Strategies, LLC","Lyft, Inc.",11/01/20-10/31/21
R005675,"Appel, Erin ","Capitol Strategies, LLC",Slice Wireless Solutions,11/01/20-10/31/21
R005846,"Appel, Erin ","Capitol Strategies, LLC",Verizon Communications,11/01/20-10/31/21
R009662,"Appel, Erin ","Capitol Strategies, LLC",Tradepoint Atlantic c/o Redwood Capital,11/01/21-01/17/22
